#Bump,Camber,Caster,Toe,SteerAngle,SteerRack 
-0.4975,-0.0,0.0,-0.0,-4.344834230738867e-07,0.0
-0.4975,0.0008,0.0002,0.0,-0.0002308420000058046,0.0
-0.4975,0.0018,0.0004,0.0003,-0.00045578462379008186,0.0
-0.4975,0.0028,0.0006,-0.0001,-0.0006298406763279397,0.0
-0.4975,0.002,0.0007,0.0041,-0.0006492539688216342,0.0
-0.4975,0.0055,0.0005,-0.005,-0.000827232808504198,0.0
-0.4975,0.0032,0.0007,-0.0001,-0.0007826968490690937,0.0
-0.4975,0.0057,0.0004,-0.0089,-0.0010727017721242093,0.0
-0.4975,0.0026,0.0007,-0.004,-0.0010039928754078872,0.0
-0.4975,0.0046,0.0002,-0.0126,-0.001414815355126337,0.0
-0.495,0.0013,0.0006,-0.0076,-0.0013400351119908296,0.0
-0.495,0.0032,0.0001,-0.0161,-0.0018830429151096885,0.0
-0.495,-0.0001,0.0005,-0.0108,-0.0018055736072632887,0.0
-0.495,0.0019,-0.0,-0.019,-0.0024772023559343215,0.0
-0.495,-0.0013,0.0005,-0.0136,-0.002383826306220055,0.0
-0.495,0.001,-0.0001,-0.0215,-0.003166227073504291,0.0
-0.495,-0.002,0.0006,-0.0157,-0.003033736996505103,0.0
-0.495,0.0004,-0.0001,-0.0233,-0.0039015761366251673,0.0
-0.495,-0.0024,0.0006,-0.0173,-0.003704543817967262,0.0
-0.4925,0.0001,-0.0,-0.0246,-0.00463210688676061,0.0
-0.4925,-0.0026,0.0007,-0.0184,-0.004348958485850275,0.0
-0.4925,0.0001,0.0,-0.0254,-0.005315321383008837,0.0
-0.4925,-0.0026,0.0008,-0.019,-0.00493146077663463,0.0
-0.4925,0.0001,0.0,-0.0258,-0.005922858728283314,0.0
-0.4925,-0.0025,0.0009,-0.0192,-0.005432472605419596,0.0
-0.4925,0.0003,0.0001,-0.0258,-0.006443414849505989,0.0
-0.4925,-0.0023,0.001,-0.0191,-0.005848082999656703,0.0
-0.4925,0.0004,0.0001,-0.0255,-0.00687969476283671,0.0
-0.4925,-0.0022,0.0011,-0.0188,-0.006186524860603093,0.0
-0.49,0.0006,0.0,-0.0251,-0.007244704146652005,0.0
-0.49,-0.002,0.0011,-0.0184,-0.0064638990131296896,0.0
-0.49,0.0007,0.0,-0.0247,-0.00755704472894998,0.0
-0.49,-0.0019,0.0011,-0.018,-0.006700793533378747,0.0
-0.49,0.0008,-0.0,-0.0242,-0.007838735173810759,0.0
-0.49,-0.0018,0.0011,-0.0176,-0.006919084291473461,0.0
-0.49,0.0009,-0.0001,-0.0238,-0.008111142283274978,0.0
-0.49,-0.0017,0.0012,-0.0173,-0.007138877188127323,0.0
-0.49,0.0009,-0.0001,-0.0234,-0.008392959533965575,0.0
-0.49,-0.0017,0.0012,-0.017,-0.007377017813307854,0.0
-0.4875,0.0009,-0.0001,-0.0231,-0.00869913584496195,0.0
-0.4875,-0.0017,0.0012,-0.0168,-0.007646384468602803,0.0
-0.4875,0.0009,-0.0001,-0.0229,-0.009040491820788024,0.0
-0.4875,-0.0017,0.0012,-0.0168,-0.007955769643436335,0.0
-0.4875,0.0009,-0.0002,-0.0229,-0.009423835174519193,0.0
-0.4875,-0.0017,0.0013,-0.0168,-0.008310169952061153,0.0
-0.4875,0.0008,-0.0002,-0.0229,-0.009852402930230235,0.0
-0.4875,-0.0017,0.0013,-0.017,-0.00871132699267547,0.0
-0.4875,0.0008,-0.0002,-0.023,-0.010326486535329782,0.0
-0.4875,-0.0018,0.0014,-0.0172,-0.00915839216706941,0.0
-0.4875,0.0008,-0.0002,-0.0232,-0.010778957879142974,0.0
-0.485,-0.0015,0.0013,-0.0174,-0.009220000269373458,0.0
-0.485,0.0013,-0.0004,-0.0231,-0.010391180355839118,0.0
-0.485,-0.0008,0.0011,-0.0173,-0.008881197235863069,0.0
-0.485,0.002,-0.0005,-0.023,-0.010234613299742835,0.0
-0.485,-0.0003,0.001,-0.0171,-0.008823030957555109,0.0
-0.485,0.0023,-0.0005,-0.0229,-0.010266830680864902,0.0
-0.485,-0.0002,0.0011,-0.0171,-0.008912916695165779,0.0
-0.485,0.0022,-0.0004,-0.023,-0.010416756799528155,0.0
-0.485,-0.0005,0.0012,-0.0172,-0.009090798047306801,0.0
-0.485,0.0018,-0.0002,-0.0232,-0.01062705379038099,0.0
-0.4825,-0.0009,0.0014,-0.0175,-0.009309626359898501,0.0
-0.4825,0.0014,-0.0002,-0.0234,-0.010752034045917683,0.0
-0.4825,-0.0013,0.0014,-0.0177,-0.009432739195537292,0.0
-0.4825,0.0011,-0.0001,-0.0237,-0.01098185831680474,0.0
-0.4825,-0.0016,0.0015,-0.018,-0.00966812969254656,0.0
-0.4825,0.0008,0.0,-0.024,-0.011217241497255257,0.0
-0.4825,-0.0019,0.0016,-0.0184,-0.009890896458114699,0.0
-0.4825,0.0005,0.0001,-0.0244,-0.011429295627628754,0.0
-0.4825,-0.002,0.0016,-0.0187,-0.01008645910893024,0.0
-0.4825,0.0004,0.0001,-0.0247,-0.011609674550218746,0.0
-0.48,-0.0021,0.0016,-0.019,-0.010249001185538483,0.0
-0.48,0.0005,0.0001,-0.025,-0.01164528171881175,0.0
-0.48,-0.002,0.0016,-0.0192,-0.010266879560967765,0.0
-0.48,0.0005,0.0001,-0.0251,-0.011752942068052937,0.0
-0.48,-0.002,0.0016,-0.0193,-0.010369723955869234,0.0
-0.48,0.0005,0.0001,-0.0253,-0.011843201194930606,0.0
