#Bump,Camber,Caster,Toe,SteerAngle,SteerRack 
-0.4975,-0.0,0.0,-0.0,-4.344834230738867e-07,0.0
-0.495,0.0008,0.0002,0.0,-0.0002308420000058046,0.0
-0.4925,0.0018,0.0004,0.0003,-0.00045578462379008186,0.0
-0.49,0.0028,0.0006,-0.0001,-0.0006298406763279397,0.0
-0.4875,0.002,0.0007,0.0041,-0.0006492539688216342,0.0
-0.4825,0.0055,0.0005,-0.005,-0.000827232808504198,0.0
-0.48,0.0032,0.0007,-0.0001,-0.0007826968490690937,0.0
-0.48,0.0057,0.0004,-0.0089,-0.0010727017721242093,0.0
-0.4775,0.0026,0.0007,-0.004,-0.0010039928754078872,0.0
-0.475,0.0046,0.0002,-0.0126,-0.001414815355126337,0.0
-0.4725,0.0013,0.0006,-0.0076,-0.0013400351119908296,0.0
-0.47,0.0032,0.0001,-0.0161,-0.0018830429151096885,0.0
-0.46749999999999997,-0.0001,0.0005,-0.0108,-0.0018055736072632887,0.0
-0.46499999999999997,0.0019,-0.0,-0.019,-0.0024772023559343215,0.0
-0.46249999999999997,-0.0013,0.0005,-0.0136,-0.002383826306220055,0.0
-0.45999999999999996,0.001,-0.0001,-0.0215,-0.003166227073504291,0.0
-0.45749999999999996,-0.002,0.0006,-0.0157,-0.003033736996505103,0.0
-0.45249999999999996,0.0004,-0.0001,-0.0233,-0.0039015761366251673,0.0
-0.44999999999999996,-0.0024,0.0006,-0.0173,-0.003704543817967262,0.0
-0.44749999999999995,0.0001,-0.0,-0.0246,-0.00463210688676061,0.0
-0.44499999999999995,-0.0026,0.0007,-0.0184,-0.004348958485850275,0.0
-0.44249999999999995,0.0001,0.0,-0.0254,-0.005315321383008837,0.0
-0.43999999999999995,-0.0026,0.0008,-0.019,-0.00493146077663463,0.0
-0.43749999999999994,0.0001,0.0,-0.0258,-0.005922858728283314,0.0
-0.43499999999999994,-0.0025,0.0009,-0.0192,-0.005432472605419596,0.0
-0.43249999999999994,0.0003,0.0001,-0.0258,-0.006443414849505989,0.0
-0.42999999999999994,-0.0023,0.001,-0.0191,-0.005848082999656703,0.0
-0.42749999999999994,0.0004,0.0001,-0.0255,-0.00687969476283671,0.0
-0.42499999999999993,-0.0022,0.0011,-0.0188,-0.006186524860603093,0.0
-0.42249999999999993,0.0006,0.0,-0.0251,-0.007244704146652005,0.0
-0.41999999999999993,-0.002,0.0011,-0.0184,-0.0064638990131296896,0.0
-0.4174999999999999,0.0007,0.0,-0.0247,-0.00755704472894998,0.0
-0.4149999999999999,-0.0019,0.0011,-0.018,-0.006700793533378747,0.0
-0.4124999999999999,0.0008,-0.0,-0.0242,-0.007838735173810759,0.0
-0.4099999999999999,-0.0018,0.0011,-0.0176,-0.006919084291473461,0.0
-0.4074999999999999,0.0009,-0.0001,-0.0238,-0.008111142283274978,0.0
-0.4049999999999999,-0.0017,0.0012,-0.0173,-0.007138877188127323,0.0
-0.4024999999999999,0.0009,-0.0001,-0.0234,-0.008392959533965575,0.0
-0.3999999999999999,-0.0017,0.0012,-0.017,-0.007377017813307854,0.0
-0.3974999999999999,0.0009,-0.0001,-0.0231,-0.00869913584496195,0.0
-0.3949999999999999,-0.0017,0.0012,-0.0168,-0.00758754884107155,0.0
-0.3924999999999999,0.0009,-0.0004,-0.0228,-0.008436440489125807,0.0
-0.3899999999999999,-0.0016,0.0008,-0.0164,-0.006930148867007259,0.0
-0.3874999999999999,0.0011,-0.0007,-0.0224,-0.007819868175672049,0.0
-0.3849999999999999,-0.0014,0.0006,-0.0161,-0.0064813151885418155,0.0
-0.3824999999999999,0.0013,-0.0008,-0.0221,-0.007510221569244923,0.0
-0.3799999999999999,-0.0013,0.0005,-0.0158,-0.00631603368833701,0.0
-0.3774999999999999,0.0014,-0.0007,-0.0219,-0.007455372827364127,0.0
-0.3749999999999999,-0.0013,0.0007,-0.0157,-0.006351727733212019,0.0
-0.3724999999999999,0.0013,-0.0005,-0.022,-0.00754920206435448,0.0
-0.3699999999999999,-0.0014,0.0008,-0.0158,-0.006487266547929836,0.0
-0.3674999999999999,0.0012,-0.0003,-0.0221,-0.00769780126883249,0.0
-0.3649999999999999,-0.0015,0.001,-0.016,-0.006645381628686729,0.0
-0.3624999999999999,0.0011,-0.0002,-0.0223,-0.007840005626358355,0.0
-0.3599999999999999,-0.0016,0.0011,-0.0162,-0.0067809661918457245,0.0
-0.3574999999999999,0.001,-0.0001,-0.0226,-0.007945251449697306,0.0
-0.35499999999999987,-0.0016,0.0012,-0.0164,-0.006874558355958479,0.0
-0.35249999999999987,0.001,0.0,-0.0229,-0.008003768245578573,0.0
-0.34999999999999987,-0.0017,0.0013,-0.0167,-0.0069223953128782455,0.0
-0.34749999999999986,0.0009,0.0001,-0.0231,-0.008016917324875288,0.0
-0.34499999999999986,-0.0017,0.0013,-0.0169,-0.006928235827320652,0.0
-0.34249999999999986,0.0009,0.0001,-0.0233,-0.007990493965401862,0.0
-0.33999999999999986,-0.0017,0.0013,-0.017,-0.006898293359242542,0.0
-0.33749999999999986,0.0009,0.0001,-0.0234,-0.007931101597843831,0.0
-0.33499999999999985,-0.0017,0.0013,-0.0171,-0.006838798290782104,0.0
-0.33249999999999985,0.0009,0.0001,-0.0235,-0.007844786309547514,0.0
-0.32999999999999985,-0.0017,0.0012,-0.0172,-0.006755305515865579,0.0
-0.32749999999999985,0.0009,0.0001,-0.0235,-0.007736744738682784,0.0
-0.32499999999999984,-0.0017,0.0012,-0.0172,-0.006652595473531704,0.0
-0.32249999999999984,0.0009,0.0001,-0.0235,-0.007611482703257257,0.0
-0.31999999999999984,-0.0017,0.0012,-0.0171,-0.006534910400981098,0.0
-0.31749999999999984,0.0009,0.0001,-0.0235,-0.007473071983809737,0.0
-0.31499999999999984,-0.0017,0.0012,-0.017,-0.006406149091193724,0.0
-0.31249999999999983,0.0009,0.0,-0.0234,-0.007325289555463721,0.0
-0.30999999999999983,-0.0017,0.0011,-0.0169,-0.006269930852495456,0.0
-0.30749999999999983,0.001,0.0,-0.0233,-0.0071716227977513,0.0
-0.3049999999999998,-0.0017,0.0011,-0.0168,-0.006129550308781562,0.0
-0.3024999999999998,0.001,0.0,-0.0231,-0.0070151899477152715,0.0
-0.2999999999999998,-0.0017,0.0011,-0.0166,-0.005987880309118895,0.0
-0.2974999999999998,0.001,0.0,-0.023,-0.006858636025630573,0.0
-0.2949999999999998,-0.0017,0.0011,-0.0165,-0.005847276192087647,0.0
-0.2924999999999998,0.001,0.0,-0.0229,-0.00670405053286028,0.0
-0.2899999999999998,-0.0016,0.0011,-0.0164,-0.005709516388865295,0.0
-0.2874999999999998,0.001,0.0,-0.0228,-0.0065529313863811455,0.0
-0.2849999999999998,-0.0016,0.001,-0.0162,-0.005575793287967472,0.0
-0.2824999999999998,0.001,-0.0,-0.0227,-0.006406200494138095,0.0
-0.2799999999999998,-0.0016,0.001,-0.0161,-0.005446752650583171,0.0
-0.2774999999999998,0.0011,-0.0,-0.0226,-0.006264263708823719,0.0
-0.2749999999999998,-0.0016,0.001,-0.016,-0.005322570508892987,0.0
-0.2724999999999998,0.0011,-0.0,-0.0225,-0.006127101396759069,0.0
-0.2699999999999998,-0.0016,0.001,-0.0159,-0.005203052568014506,0.0
-0.2674999999999998,0.0011,-0.0,-0.0224,-0.005994374162153825,0.0
-0.2649999999999998,-0.0016,0.001,-0.0158,-0.005087741565221908,0.0
-0.2624999999999998,0.0011,-0.0,-0.0223,-0.005865530336080726,0.0
-0.2599999999999998,-0.0016,0.0009,-0.0157,-0.004976020609424511,0.0
-0.2574999999999998,0.0011,-0.0,-0.0222,-0.005739904537229283,0.0
-0.2549999999999998,-0.0016,0.0009,-0.0156,-0.00486720380984619,0.0
-0.2524999999999998,0.0011,-0.0,-0.0222,-0.0056168007004554436,0.0
-0.24999999999999978,-0.0016,0.0009,-0.0156,-0.004760609414067203,0.0
-0.24749999999999978,0.0011,-0.0,-0.0221,-0.005495556059897497,0.0
-0.24499999999999977,-0.0016,0.0009,-0.0155,-0.004655613412892513,0.0
-0.24249999999999977,0.0011,-0.0,-0.0221,-0.005375585550448385,0.0
-0.23999999999999977,-0.0016,0.0009,-0.0155,-0.0045516841811248316,0.0
-0.23749999999999977,0.0011,-0.0,-0.022,-0.0052564079967843715,0.0
-0.23499999999999976,-0.0016,0.0009,-0.0154,-0.0044484002533234715,0.0
-0.23249999999999976,0.0011,-0.0,-0.022,-0.005137656618815306,0.0
-0.22999999999999976,-0.0016,0.0008,-0.0153,-0.0043454541222143865,0.0
-0.22749999999999976,0.0011,-0.0,-0.0219,-0.005019077297173704,0.0
-0.22499999999999976,-0.0016,0.0008,-0.0153,-0.004242645648168974,0.0
-0.22249999999999975,0.0011,-0.0,-0.0219,-0.004900518038080707,0.0
-0.21999999999999975,-0.0016,0.0008,-0.0152,-0.004139868443437512,0.0
-0.21749999999999975,0.0011,-0.0,-0.0218,-0.004781912866033057,0.0
-0.21499999999999975,-0.0016,0.0008,-0.0152,-0.00403709219281079,0.0
-0.21249999999999974,0.0011,-0.0,-0.0218,-0.004663263089173091,0.0
-0.20999999999999974,-0.0016,0.0008,-0.0151,-0.0039343436335742945,0.0
-0.20749999999999974,0.0011,-0.0,-0.0217,-0.004544618154853833,0.0
-0.20499999999999974,-0.0016,0.0008,-0.015,-0.0038316879960243852,0.0
-0.20249999999999974,0.0011,-0.0,-0.0217,-0.004426057816523124,0.0
-0.19999999999999973,-0.0015,0.0007,-0.015,-0.003729212505466758,0.0
-0.19749999999999973,0.0011,-0.0,-0.0216,-0.004307676786490255,0.0
-0.19499999999999973,-0.0015,0.0007,-0.0149,-0.0036270125526988244,0.0
-0.19249999999999973,0.0011,-0.0,-0.0216,-0.004189572355950513,0.0
-0.18999999999999972,-0.0015,0.0007,-0.0148,-0.003525181100741362,0.0
-0.18749999999999972,0.0011,-0.0,-0.0215,-0.004071835310124471,0.0
-0.18499999999999972,-0.0015,0.0007,-0.0148,-0.0034238012505753246,0.0
-0.18249999999999972,0.0011,-0.0,-0.0214,-0.003954543935536281,0.0
-0.17999999999999972,-0.0015,0.0007,-0.0147,-0.003322941737278572,0.0
-0.1774999999999997,0.0011,-0.0,-0.0214,-0.003837760762580097,0.0
-0.1749999999999997,-0.0015,0.0007,-0.0146,-0.0032226549306841475,0.0
-0.1724999999999997,0.0011,-0.0,-0.0213,-0.003721531582865797,0.0
-0.1699999999999997,-0.0015,0.0006,-0.0146,-0.003122976723224286,0.0
